epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.004842350259423256,0.07305759191513062,0.030609410242960468,0.5284558815230906,0.014717882463947648,0.5902102828891038
2,0.009010269306600094,0.010531611740589142,0.020898894723957787,0.6126805059599201,0.03516153684645411,0.6286965344242642
3,0.022016150876879692,0.01118544302880764,0.04625846913570875,0.7299248825530046,0.04472475923069357,0.7943470134525689
4,0.04289880394935608,0.020642202347517014,0.06952816084565049,0.7683008510069058,0.0879905210973746,0.7914847382149119
5,0.023473255336284637,0.016533197835087776,0.12038758094354535,0.7913640729316951,0.11644990221450816,0.7906549745637019
6,0.010699596256017685,0.0177560206502676,0.14064412068850884,0.796093107238566,0.10097518064718303,0.8057551738909943
7,0.033714938908815384,0.009915315546095371,0.15900342978211857,0.799800200436069,0.08318146783643464,0.8074913776031127
8,0.020271386951208115,0.012257155030965805,0.1794597315434499,0.8079410004118773,0.19845762276085308,0.8127837473426861
9,0.010401604697108269,0.020079804584383965,0.20733942356858942,0.8196079467666216,0.12234580312329532,0.8231638972757723
10,0.02233772538602352,0.020067699253559113,0.18272945843295896,0.8161197030617429,0.1766835670872617,0.8215882261174198
11,0.03318607807159424,0.012305038049817085,0.19328900570991112,0.8241582618811996,0.16515131175708164,0.795244733855966
12,0.01747622713446617,0.006570452358573675,0.201481787779557,0.8250272284879211,0.20392104303986586,0.8067927927527714
13,0.0164775513112545,0.023039042949676514,0.18992441932710377,0.8132875464904293,0.17082645116311462,0.8174211120026647
14,0.013414359651505947,0.03067370317876339,0.20845045670017884,0.8295355176722184,0.21983623861707485,0.8129298627184091
15,0.017641564831137657,0.014074452221393585,0.2110520308463404,0.820255173053293,0.2193219387870027,0.8302623245423518
16,0.019911326467990875,0.010326385498046875,0.1921930661952433,0.8320496347935046,0.1905867435801084,0.8128408090268241
17,0.01756647229194641,0.010679754428565502,0.20293823051116847,0.8287079089741637,0.20537907062437688,0.8364574005273901
18,0.02198600023984909,0.019153354689478874,0.20432100232706138,0.8304896822557718,0.12456785927738187,0.8036727799725402
19,0.009664716199040413,0.024220071732997894,0.19902328884303816,0.8337948035040217,0.2202529685432336,0.8004198260146063
20,0.024829057976603508,0.016549542546272278,0.21256340475428687,0.8320991928491096,0.18109107173463798,0.8410308588104649
21,0.033057328313589096,0.029736531898379326,0.2072674486943258,0.8397950593972427,0.19449256078130084,0.8143969556856655
22,0.028844710439443588,0.012705227360129356,0.195050125403535,0.8292983899279319,0.2222669323413793,0.8383149713825442
23,0.02581118419766426,0.019381511956453323,0.21432192669642774,0.842977223383327,0.1464308474498801,0.7951386587178968
24,0.01448625884950161,0.016818637028336525,0.2231389617476615,0.8410314869517868,0.20003370316617614,0.8245377578664238
25,0.03379958122968674,0.01622483693063259,0.21302530451688323,0.8401425647571404,0.1901434928911336,0.8339218552189145
26,0.007036503404378891,0.027452774345874786,0.21945845548761056,0.8379694935786578,0.15390293149901174,0.8274156563562578
27,0.017919570207595825,0.02400200068950653,0.21195898990661438,0.8428034994452624,0.21501347917389382,0.8404695467282486
28,0.04092545807361603,0.033770691603422165,0.22278681261573063,0.8468848502158765,0.21690862116767792,0.8135116543147625
29,0.029746543616056442,0.01045773085206747,0.2133097359112338,0.8355052059957551,0.1837962687446935,0.8315808820546033
30,0.030013877898454666,0.012082068249583244,0.22396874314468046,0.846410173311206,0.22315824368730589,0.8370762354609285
31,0.01696648634970188,0.024385077878832817,0.21854026933773862,0.8448145028407094,0.21256254089073576,0.8400848681670712
32,0.014496685937047005,0.04199080914258957,0.21161762317041757,0.8370083748827133,0.15957953237269848,0.8331746552190838
33,0.00836220197379589,0.014278344810009003,0.19743857055202932,0.8376404731689455,0.2201292119175526,0.8359115188300561
34,0.012721910141408443,0.015575466677546501,0.22869298453841347,0.854667355289391,0.18853545208099207,0.8371608777714011
35,0.017903126776218414,0.009157941676676273,0.20983783470860154,0.8438803731332094,0.17059753458539703,0.8224621223242157
36,0.045476965606212616,0.01123218797147274,0.22001626641043198,0.8452116265757219,0.20650175561162526,0.8464163036896322
37,0.017055341973900795,0.007902944460511208,0.21864056039269106,0.8473917077880937,0.16111781649723753,0.7940786795093315
38,0.008150940760970116,0.02392372488975525,0.21673677024380955,0.838829626880506,0.18643129731932176,0.8038568771491285
39,0.06723777949810028,0.01947781816124916,0.19797125521539588,0.8361476761955065,0.19116963783716603,0.8140231249396302
40,0.04210595041513443,0.024917295202612877,0.22487447263279686,0.8435984501406677,0.1399722309929218,0.8153077055598686
41,0.013611771166324615,0.02143491432070732,0.20057081249705372,0.8385106699999418,0.21380668118188265,0.8302636688368961
42,0.012409642338752747,0.020596180111169815,0.2143845885528883,0.8498152895617004,0.1705325261741271,0.8379667880394741
43,0.018891749903559685,0.024891575798392296,0.21207350206442876,0.8498448050829251,0.20233946879300038,0.8389846989653016
44,0.04701606556773186,0.00844272319227457,0.20343824381237782,0.8497157979287742,0.20193792978571132,0.8357907711323078
45,0.04069962352514267,0.012789263390004635,0.21601540084701842,0.8469291979068493,0.16763740618317002,0.841594510963074
46,0.010170391760766506,0.013997402042150497,0.21016452803785396,0.8374623114411774,0.19459006668033627,0.8041563879884066
47,0.007588456384837627,0.02076689526438713,0.20261870741390192,0.8476580830837616,0.21283427538923477,0.8438424933159101
48,0.027106253430247307,0.015130131505429745,0.2274964022884448,0.8495658761377766,0.17511924497283587,0.7680602489616518
49,0.005059403367340565,0.019375288859009743,0.20996854628713826,0.8494487860195069,0.18617464784193338,0.8378089263527241
50,0.03486328944563866,0.060821857303380966,0.21227274095816817,0.8493335978807159,0.2227037378196561,0.828920326401642
51,0.01843973807990551,0.006829863414168358,0.22215557690196203,0.8477190698989453,0.18894681854749545,0.8008836784220855
52,0.02546854317188263,0.014973679557442665,0.21252635523913332,0.8427095553840876,0.18985879509038725,0.8288369905980787
53,0.049291741102933884,0.007499502506107092,0.20466248087579808,0.8481022077662436,0.18843511984873454,0.8010239609403921
54,0.008484160527586937,0.019412053748965263,0.20305771156645364,0.8427532999874943,0.1806148781534641,0.7965613430160667
55,0.040866874158382416,0.03829669579863548,0.20537149870099186,0.8441656063574061,0.12449990550840004,0.8431079473707678
56,0.021818310022354126,0.018437128514051437,0.20006281128007325,0.8338893165330821,0.17777338860237774,0.7769959005451187
57,0.015378335490822792,0.0186160858720541,0.20203347774991395,0.8419703975911911,0.18842397114455056,0.8442392375241734
